020560,아시아나항공,1.21458E+12
114090,GKL,1.21237E+12
000670,영풍,1.21206E+12
014680,한솔케미칼,1.20294E+12
003240,태광산업,1.20136E+12
011200,현대상선,1.19498E+12
139130,DGB금융지주,1.19417E+12
073240,금호타이어,1.18351E+12
034020,두산중공업,1.15628E+12
003520,영진약품,1.1504E+12
042670,두산인프라코어,1.14281E+12
004000,롯데정밀화학,1.13262E+12
272210,한화시스템,1.12986E+12
000150,두산,1.12858E+12
005440,현대그린푸드,1.12849E+12
294870,HDC현대산업개발,1.10944E+12
001800,오리온홀딩스,1.10256E+12
005300,롯데칠성,1.0951E+12
003690,코리안리,1.09054E+12
161890,한국콜마,1.08686E+12
298380,에이비엘바이오,1.07595E+12
175330,JB금융지주,1.06765E+12
247540,에코프로비엠,1.05452E+12
330590,롯데리츠,1.04901E+12
178920,SKC코오롱PI,1.03369E+12
307950,현대오토에버,1.0185E+12
032350,롯데관광개발,1.01835E+12
241590,화승엔터프라이즈,1.01399E+12
005250,녹십자홀딩스,1.01111E+12
010780,아이에스동서,1.00092E+12
084850,아이티엠반도체,9.88455E+11
215600,신라젠,9.87625E+11
284740,쿠쿠홈시스,9.74902E+11
185750,종근당,9.74807E+11
090435,아모레퍼시픽우,9.73432E+11
046890,서울반도체,9.6787E+11
057050,현대홈쇼핑,9.672E+11
170900,동아에스티,9.58379E+11
028150,GS홈쇼핑,9.56813E+11
058470,리노공업,9.52648E+11
280360,롯데제과,9.46466E+11
041960,코미팜,9.39688E+11
196170,알테오젠,9.36641E+11
192080,더블유게임즈,9.14851E+11
009410,태영건설,8.977E+11
025980,아난티,8.93005E+11
214150,클래시스,8.91447E+11
003000,부광약품,8.76733E+11
002350,넥센타이어,8.74127E+11
041510,에스엠,8.72228E+11
023590,다우기술,8.61439E+11
218410,RFHIC,8.60658E+11
035900,JYP Ent.,8.58979E+11
049770,동원F&B,8.58655E+11
005850,에스엘,8.55608E+11
005290,동진쎄미켐,8.38056E+11
069260,휴켐스,8.35967E+11
096530,씨젠,8.26372E+11
030190,NICE평가정보,8.22686E+11
214370,케어젠,8.2184E+11
192820,코스맥스,8.19035E+11
006040,동원산업,8.09081E+11
008060,대덕전자,8.03472E+11
001680,대상,7.91707E+11
086450,동국제약,7.8872E+11
034310,NICE,7.87952E+11
285130,SK케미칼,7.86674E+11
200130,콜마비앤에이치,7.85859E+11
020000,한섬,7.78308E+11
000250,삼천당제약,7.78125E+11
018250,애경산업,7.77773E+11
018670,SK가스,7.75223E+11
022100,포스코 ICT,7.72336E+11
016380,동부제철,7.70069E+11
052690,한전기술,7.66311E+11
115450,지트리비앤티,7.65338E+11
085660,차바이오텍,7.63592E+11
053800,안랩,7.61053E+11
093370,후성,7.60302E+11
003380,하림지주,7.59904E+11
115390,락앤락,7.58612E+11
003090,대웅,7.52939E+11
192400,쿠쿠홀딩스,7.4325E+11
006650,대한유화,7.41E+11
005610,SPC삼립,7.36917E+11
078130,국일제지,7.36447E+11
064760,티씨케이,7.29688E+11
014820,동원시스템즈,7.28847E+11
085620,미래에셋생명,7.23996E+11
079550,LIG넥스원,7.227E+11
079160,CJ CGV,7.19485E+11
071840,롯데하이마트,7.17674E+11
091700,파트론,7.14865E+11
003850,보령제약,7.1383E+11
090460,비에이치,7.108E+11
089590,제주항공,6.99772E+11
003230,삼양식품,6.97557E+11
336370,두산솔루스,6.97446E+11
067160,아프리카TV,6.95433E+11
105630,한세실업,6.9E+11
033660,아주캐피탈,6.79042E+11
039200,오스코텍,6.73067E+11
267980,매일유업,6.72984E+11
103140,풍산,6.65577E+11
112610,씨에스윈드,6.58586E+11
298020,효성티앤씨,6.57808E+11
097520,엠씨넥스,6.45765E+11
012630,HDC,6.45211E+11
108320,실리콘웍스,6.43253E+11
000400,롯데손해보험,6.39293E+11
000640,동아쏘시오홀딩스,6.38383E+11
064960,S&T모티브,6.36838E+11
213420,덕산네오룩스,6.36265E+11
006060,화승인더,6.3618E+11
009970,영원무역홀딩스,6.361E+11
082640,동양생명,6.34946E+11
278280,천보,6.29E+11
286940,롯데정보통신,6.18163E+11
033640,네패스,6.15681E+11
033180,필룩스,6.14865E+11
039130,하나투어,6.13335E+11
039840,디오,6.13182E+11
036540,SFA반도체,6.11857E+11
267270,현대건설기계,6.07769E+11
003540,대신증권,6.06742E+11
001060,JW중외제약,6.03445E+11
145720,덴티움,5.89969E+11
058820,CMG제약,5.86125E+11
083790,크리스탈,5.83715E+11
001120,LG상사,5.83338E+11
048260,오스템임플란트,5.82857E+11
009450,경동나비엔,5.81559E+11
003470,유안타증권,5.76834E+11
000070,삼양홀딩스,5.71237E+11
005180,빙그레,5.66446E+11
183490,엔지켐생명과학,5.65867E+11
00680K,미래에셋대우2우B,5.649E+11
001230,동국제강,5.63053E+11
036420,제이콘텐트리,5.61869E+11
069080,웹젠,5.59678E+11
210980,SK디앤디,5.57361E+11
001820,삼화콘덴서,5.57172E+11
178320,서진시스템,5.5569E+11
005880,대한해운,5.54482E+11
071320,지역난방공사,5.4999E+11
031390,녹십자셀,5.43337E+11
237690,에스티팜,5.41957E+11
078160,메디포스트,5.40377E+11
141080,레고켐바이오,5.39314E+11
066970,엘앤에프,5.37264E+11
001440,대한전선,5.34439E+11
001430,세아베스틸,5.34346E+11
027410,BGF,5.32185E+11
093050,LF,5.27782E+11
230360,에코마케팅,5.21606E+11
000815,삼성화재우,5.187E+11
034830,한국토지신탁,5.17603E+11
